subject,message,label
Pasākuma programma,"Labdien!

Lūdzu, iepazīstieties ar pievienotajiem dokumentiem. Pasākuma sākums paredzēts plkst. 10.00. Darba grafiks nākamajai nedēļai ir sagatavots. Ja jums ir jautājumi, varat sazināties ar mūsu klientu apkalpošanas nodaļu.

Ar cieņu,
Skolas administrācija.",normal
Tikšanās laika maiņa,Sveiki! Vai mums būtu iespējams pārcelt tikšanos uz ceturtdienu plkst. 15.00?,normal
Piekļuves atjaunošana,"Cienījamais klient!

Mūsu sistēmā ir reģistrēta neparasta piekļuves darbība.
Nepieciešams apstiprināt, ka konts joprojām pieder jums.

Pārbaude tiek veikta drošības nolūkos.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Ar cieņu,
Konta drošības komanda.",phishing
Nepieciešama paroles maiņa,"Drošības apsvērumu dēļ nepieciešams apstiprināt paroli.

Lai turpinātu, izmantojiet norādīto saiti:
https://payment-verification.example

Lūdzu, rīkojieties pēc iespējas ātrāk.",phishing
Svarīgs drošības paziņojums,"Svarīgs paziņojums!

Svarīga informācija par jūsu kontu.

Drošības sistēma ir pamanījusi aizdomīgu darbību. Paziņojums ir nosūtīts automātiski.

Lūdzu, pabeidziet drošības pārbaudi.
Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Lūdzu, pievērsiet šim paziņojumam uzmanību.

Paldies, ka izmantojat mūsu pakalpojumus.",phishing
Konta pārbaudes termiņš,"Cienījamais lietotāj!

Svarīga informācija par jūsu kontu.

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude. Drošības pārbaude ir nepieciešama, lai aizsargātu jūsu kontu.

Lūdzu, apstipriniet savu konta informāciju.
Lai apstiprinātu informāciju, atveriet pārbaudes sadaļu.

Lūdzu, pievērsiet šim paziņojumam uzmanību.

Paldies par sadarbību.",phishing
Nedēļas jaunumi,"Labdien, skolēni!

Pasākuma sākums paredzēts plkst. 10.00. Paldies, ka izmantojat mūsu pakalpojumus. Dokumenti būs pieejami arī klātienes tikšanās laikā. Sanāksmes laikā pārrunāsim aktuālos jautājumus. Mēs novērtējam jūsu atsauksmes un ieteikumus. Piegāde ir plānota tuvāko trīs darba dienu laikā. Papildu informāciju varat saņemt, sazinoties ar mums.

Ar cieņu,
Skolas administrācija.",normal
Piekļuves atjaunošana,"Sveiki!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude. Lai turpinātu izmantot kontu, nepieciešams veikt pārbaudi. Nepieciešams rīkoties pirms konta statusa maiņas.

Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Paldies, ka izmantojat mūsu pakalpojumus.",phishing
Jūsu konts ir ierobežots,"Cienījamais lietotāj!

Svarīga informācija par jūsu kontu.

Ir konstatēta darbība, kuru nepieciešams apstiprināt. Lūdzu, saglabājiet šo paziņojumu turpmākai atsaucei.

Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija.
Apstiprināšanas process ir pieejams konta pārbaudes sadaļā.

Pretējā gadījumā dažas konta funkcijas var kļūt nepieejamas.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Atvaļinājuma plāns,"Labdien, skolēni!

Informācija par jaunumiem ir pieejama mūsu mājaslapā. Nodarbība notiks ierastajā laikā. Sanāksmes laikā pārrunāsim aktuālos jautājumus.

Paldies!
Klientu serviss.",normal
Svarīgi! Nepieciešama tūlītēja rīcība,"Lūdzu, nekavējoties veiciet pārbaudi, lai nezaudētu piekļuvi pakalpojumam.

Lai turpinātu, izmantojiet norādīto saiti:
https://payment-verification.example",phishing
Konta piekļuves problēma,"Sveiki!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Kontam ir nepieciešama papildu drošības pārbaude.

Lūdzu, veiciet nepieciešamo pārbaudi pēc iespējas ātrāk. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Pretējā gadījumā dažas konta funkcijas var kļūt nepieejamas.

Paldies par sapratni.",phishing
Atvaļinājuma plāns,"Sveiki, visiem!

Darba grafiks nākamajai nedēļai ir sagatavots. Dokumenti būs pieejami arī klātienes tikšanās laikā. Informācija par darba grafiku ir pievienota šim ziņojumam. Vēlamies informēt, ka mūsu tikšanās notiks nākamajā nedēļā. Ja nepieciešams, varam vienoties par citu laiku. Ja jums ir jautājumi, varat sazināties ar mūsu klientu apkalpošanas nodaļu.

Paldies!
Klientu serviss.",normal
Mēneša pārskats,"Labdien, skolēni!

Pielikumā nosūtām informāciju par plānoto pasākumu. Lūdzu, informējiet mūs, ja nevarēsiet piedalīties. Paldies par jūsu iepriekšējo atbildi. Atgādinām, ka pasākums notiks piektdien.

Paldies!
Klientu serviss.",normal
Rēķins par pakalpojumu,"Labdien!

Šonedēļ esam sagatavojuši vairākus jaunumus. Aptauja aizņems tikai dažas minūtes. Vēlamies informēt, ka mūsu tikšanās notiks nākamajā nedēļā. Paldies par jūsu laiku un atsaucību. Jūsu pasūtījums ir sagatavots un tiks nosūtīts tuvākajās dienās.

Ar cieņu,
Projektu komanda.",normal
Steidzams paziņojums,Šī ir pēdējā iespēja apstiprināt jūsu kontu. Rīkojieties nekavējoties.,phishing
Piegādes datums,"Labdien, skolēni!

Darba grafiks nākamajai nedēļai ir sagatavots. Jūsu pasūtījums ir sagatavots un tiks nosūtīts tuvākajās dienās. Lūdzu, iepazīstieties ar pievienotajiem dokumentiem. Mēs nosūtīsim papildu informāciju pēc tikšanās.

Ar cieņu,
Klientu apkalpošanas nodaļa.",normal
Jūsu profils ir jāatjauno,"Sveiki, klient!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude.

Paziņojums ir nosūtīts automātiski. Nepieciešams apstiprināt, ka konts joprojām pieder jums.

Pārbaudes termiņš ir ierobežots. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Ar cieņu,
Atbalsta komanda.",phishing
Piekļuves atjaunošana,"Sveiki!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude.

Šī darbība ir saistīta ar jūsu konta drošību. Lūdzu, veiciet nepieciešamo pārbaudi pēc iespējas ātrāk.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota. Izmantojiet konta pārbaudes iespēju, lai turpinātu.

Ar cieņu,
Konta drošības komanda.",phishing
Pēdējais atgādinājums par kontu,"Svarīgs paziņojums!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Jūsu konta drošības statuss ir jāapstiprina.

Lūdzu, pabeidziet drošības pārbaudi. Izmantojiet konta pārbaudes iespēju, lai turpinātu.

Ja pārbaude netiks veikta, piekļuve kontam var tikt ierobežota.

Paldies par sapratni.",phishing
Nedēļas jaunumi,"Labdien, Anna!

Atgādinām, ka pasākums notiks piektdien. Paldies par jūsu laiku un atsaucību. Paldies par jūsu iepriekšējo atbildi. Atgādinām par rīt plānoto tikšanos. Pasākuma sākums paredzēts plkst. 10.00.

Ar cieņu,
Skolas administrācija.",normal
Bibliotēkas atgādinājums,"Sveiki, kolēģi!

Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību. Paldies par jūsu iepriekšējo atbildi. Ja nepieciešams, varam vienoties par citu laiku. Atgādinām par rīt plānoto tikšanos. Nākamajā mēnesī tiks veiktas nelielas izmaiņas darba kārtībā.

Ar cieņu,
Administrācija.",normal
Konta pārbaudes termiņš,"Sveiki, klient!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Automātiskā sistēma ir atzīmējusi jūsu kontu pārbaudei.

Lūdzu, pārbaudiet norādīto informāciju un apstipriniet darbību. Izmantojiet konta pārbaudes iespēju, lai turpinātu.

Šo darbību nepieciešams veikt pēc iespējas ātrāk.

Ar cieņu,
Atbalsta komanda.",phishing
Darījuma pārbaude,"Cienījamais lietotāj!

Drošības sistēma ir pamanījusi aizdomīgu darbību.

Lūdzu, saglabājiet šo paziņojumu turpmākai atsaucei. Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija.

Pretējā gadījumā dažas konta funkcijas var kļūt nepieejamas. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Ar cieņu,
Atbalsta komanda.",phishing
Informācija par pasākumu,"Sveiki, kolēģi!

Atgādinām par rīt plānoto tikšanos. Pasākuma dalībniekiem būs pieejami visi nepieciešamie materiāli. Ja jums ir jautājumi, varat sazināties ar mūsu klientu apkalpošanas nodaļu.

Paldies!
Klientu serviss.",normal
Drošības pārbaude,"Svarīgs paziņojums!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Sistēma nevarēja automātiski apstiprināt pēdējo darbību.

Lūdzu, pabeidziet drošības pārbaudi. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Šo darbību nepieciešams veikt pēc iespējas ātrāk.

Ar cieņu,
Drošības nodaļa.",phishing
Nepieciešams apstiprinājums,"Sveiki, klient!

Jūsu konta drošības statuss ir jāapstiprina.

Drošības pārbaude ir nepieciešama, lai aizsargātu jūsu kontu. Lūdzu, pārbaudiet norādīto informāciju un apstipriniet darbību.

Pretējā gadījumā var tikt piemēroti papildu drošības ierobežojumi. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Paldies par sapratni.",phishing
Jūsu konts ir ierobežots,"Svarīgs paziņojums!

Mūsu sistēma ir konstatējusi neparastu aktivitāti jūsu kontā. Lai atjaunotu piekļuvi, nepieciešams apstiprināt konta statusu. Pārbaudi ieteicams pabeigt tuvākajā laikā.

Apstiprināšanas process ir pieejams konta pārbaudes sadaļā.

Ar cieņu,
Atbalsta komanda.",phishing
Jūsu profils ir jāatjauno,"Cienījamais lietotāj!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Mūsu sistēma ir konstatējusi neparastu aktivitāti jūsu kontā.

Lūdzu, apstipriniet savu konta informāciju. Lai apstiprinātu informāciju, atveriet pārbaudes sadaļu.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota.

Paldies par sapratni.",phishing
Atgādinājums par tikšanos,"Sveiki, visiem!

Paldies par jūsu iepriekšējo atbildi. Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību. Paldies, ka izmantojat mūsu pakalpojumus. Dokumenti būs pieejami arī klātienes tikšanās laikā.

Ar cieņu,
Projektu komanda.",normal
Svarīga informācija par jūsu kontu,"Svarīgs paziņojums!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude.

Drošības pārbaude ir nepieciešama, lai aizsargātu jūsu kontu. Lūdzu, apstipriniet savu konta informāciju.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota. Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Mācību materiāli,"Sveiki, kolēģi!

Ja nepieciešams, varam vienoties par citu laiku. Sanāksmes laikā pārrunāsim aktuālos jautājumus. Tikšanās laiks ir saskaņots ar visiem dalībniekiem. Jūsu rezervācija ir veiksmīgi apstiprināta.

Paldies par sadarbību!
Uzņēmuma komanda.",normal
Tikšanās laika maiņa,"Labdien, Anna!

Darba grafiks nākamajai nedēļai ir sagatavots. Mēs novērtējam jūsu atsauksmes un ieteikumus. Lūdzu, informējiet mūs, ja nevarēsiet piedalīties. Atgādinām, ka pasākums notiks piektdien. Ja jums ir jautājumi, varat sazināties ar mūsu klientu apkalpošanas nodaļu. Pielikumā nosūtām informāciju par plānoto pasākumu. Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību.

Ar cieņu,
Klientu apkalpošanas nodaļa.",normal
Informācija par pasākumu,"Labdien, Anna!

Papildu informāciju varat saņemt, sazinoties ar mums. Mēs priecāsimies saņemt jūsu komentārus. Aptauja aizņems tikai dažas minūtes. Nodarbība notiks ierastajā laikā. Tikšanās laiks ir saskaņots ar visiem dalībniekiem. Jūsu pasūtījums ir sagatavots un tiks nosūtīts tuvākajās dienās.

Lai jauka diena!
Mūsu komanda.",normal
Neparasta aktivitāte kontā,"Cienījamais lietotāj!

Svarīga informācija par jūsu kontu.

Drošības sistēma ir pamanījusi aizdomīgu darbību. Šī darbība ir saistīta ar jūsu konta drošību.

Lūdzu, veiciet nepieciešamo pārbaudi pēc iespējas ātrāk.
Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Pārbaudi ieteicams pabeigt tuvākajā laikā.

Paldies, ka izmantojat mūsu pakalpojumus.",phishing
Informācija klientiem,"Labdien, Anna!

Nodarbība notiks ierastajā laikā. Darba grafiks nākamajai nedēļai ir sagatavots. Pielikumā nosūtām informāciju par plānoto pasākumu. Jūsu rezervācija ir veiksmīgi apstiprināta. Lūdzu, informējiet mūs, ja nevarēsiet piedalīties. Sanāksmes laikā pārrunāsim aktuālos jautājumus. Informācija par darba grafiku ir pievienota šim ziņojumam.

Ar cieņu,
Skolas administrācija.",normal
Atvaļinājuma plāns,"Labdien, Anna!

Mēs nosūtīsim papildu informāciju pēc tikšanās. Lūdzu, saglabājiet šo ziņojumu turpmākai atsaucei. Atgādinām par rīt plānoto tikšanos. Lūdzu, dodiet mums ziņu, ja nepieciešams mainīt tikšanās laiku. Informācija par darba grafiku ir pievienota šim ziņojumam. Pasākuma dalībniekiem būs pieejami visi nepieciešamie materiāli. Paldies, ka izmantojat mūsu pakalpojumus.

Paldies!
Klientu serviss.",normal
NEKAVĒJOTIES RĪKOJIETIES,"Šī ir pēdējā iespēja apstiprināt jūsu kontu. Rīkojieties nekavējoties.

Lai turpinātu, izmantojiet norādīto saiti:
https://payment-verification.example",phishing
Piegādes informācija,"Sveiki, komanda!

Informācija par jaunumiem ir pieejama mūsu mājaslapā. Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību. Dokumenti būs pieejami arī klātienes tikšanās laikā.

Veiksmīgu dienu!
Mūsu komanda.",normal
Svarīgs paziņojums par jūsu profilu,"Jūsu profils ir saņēmis drošības brīdinājumu. Nekavējoties veiciet pārbaudi, izmantojot norādīto saiti.

Lai turpinātu, izmantojiet norādīto saiti:
https://payment-verification.example",phishing
Neparasta aktivitāte kontā,"Cienījamais lietotāj!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Kontam ir nepieciešama papildu drošības pārbaude.

Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija. Izmantojiet konta pārbaudes iespēju, lai turpinātu.

Pārbaudes termiņš ir ierobežots.

Ar cieņu,
Atbalsta komanda.",phishing
Paroles derīguma termiņš,"Jūsu parole drīzumā zaudēs derīgumu. Lai saglabātu piekļuvi kontam, ievadiet pašreizējo paroli un izveidojiet jaunu.

Lai turpinātu, izmantojiet norādīto saiti:
https://delivery-confirmation.example",phishing
Piegādes informācija,"Sveiki, kolēģi!

Tikšanās laiks ir saskaņots ar visiem dalībniekiem. Lūdzu, dodiet mums ziņu, ja nepieciešams mainīt tikšanās laiku. Pielikumā nosūtām informāciju par plānoto pasākumu.

Ar cieņu,
Projektu komanda.",normal
Pasūtījuma statuss,"Sveiki, kolēģi!

Mēs priecāsimies saņemt jūsu komentārus. Darba grafiks nākamajai nedēļai ir sagatavots. Jūsu rezervācija ir veiksmīgi apstiprināta. Lūdzu, saglabājiet šo ziņojumu turpmākai atsaucei.

Paldies par sadarbību!
Uzņēmuma komanda.",normal
Svarīgs drošības paziņojums,"Sveiki!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude.

Papildu informācija par pārbaudi ir pieejama konta sadaļā. Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija.

Pārbaudes termiņš ir ierobežots. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Paldies par sapratni.",phishing
Neapstiprināta darbība,"Sveiki!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Mūsu sistēma ir konstatējusi neparastu aktivitāti jūsu kontā.

Lai izvairītos no piekļuves ierobežošanas, apstipriniet konta datus. Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Pretējā gadījumā var tikt piemēroti papildu drošības ierobežojumi.

Ar cieņu,
Atbalsta komanda.",phishing
Piegādes informācija,"Labdien!

Informācija par darba grafiku ir pievienota šim ziņojumam. Mēs priecāsimies saņemt jūsu komentārus. Jūsu rezervācija ir veiksmīgi apstiprināta. Piegāde ir plānota tuvāko trīs darba dienu laikā. Informācija par jaunumiem ir pieejama mūsu mājaslapā.

Paldies par sadarbību!
Uzņēmuma komanda.",normal
Aptauja par pakalpojumu,"Sveiki, komanda!

Pasākuma sākums paredzēts plkst. 10.00. Atgādinām par rīt plānoto tikšanos. Nodarbība notiks ierastajā laikā. Ja jums ir jautājumi, varat sazināties ar mūsu klientu apkalpošanas nodaļu. Šonedēļ esam sagatavojuši vairākus jaunumus. Ja nepieciešams, varam vienoties par citu laiku.

Ar cieņu,
Skolas administrācija.",normal
Pasākuma programma,"Labdien, cienījamie klienti!

Jūsu pasūtījums ir sagatavots un tiks nosūtīts tuvākajās dienās. Paldies par jūsu iepriekšējo atbildi. Papildu informāciju varat saņemt, sazinoties ar mums.

Veiksmīgu dienu!
Mūsu komanda.",normal
Palieliniet savus ienākumus,"Izmantojiet mūsu sistēmu un nopelniet līdz pat 500 eiro dienā. Lai sāktu, veiciet sākotnējo iemaksu.

Lai turpinātu, izmantojiet norādīto saiti:
https://example-login-check.com

Lūdzu, rīkojieties pēc iespējas ātrāk.",phishing
Svarīgs drošības paziņojums,"Labdien, cienījamais klient!

Mūsu sistēmā ir reģistrēta neparasta piekļuves darbība.
Veiciet norādīto pārbaudi, lai atjaunotu pilnu piekļuvi.

Lūdzu, saglabājiet šo paziņojumu turpmākai atsaucei.

Lūdzu, neatlieciet šo pārbaudi. Izmantojiet konta pārbaudes iespēju, lai turpinātu.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Atvaļinājuma plāns,"Sveiki, visiem!

Dokumenti būs pieejami arī klātienes tikšanās laikā. Mēs nosūtīsim papildu informāciju pēc tikšanās. Tikšanās laiks ir saskaņots ar visiem dalībniekiem. Atgādinām, ka pasākums notiks piektdien. Pasākuma sākums paredzēts plkst. 10.00. Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību. Informācija tiks papildināta, ja būs nepieciešamas izmaiņas.

Veiksmīgu dienu!
Mūsu komanda.",normal
Konta darbības apstiprināšana,"Cienījamais lietotāj!

Svarīga informācija par jūsu kontu.

Automātiskā sistēma ir atzīmējusi jūsu kontu pārbaudei. Paziņojums ir nosūtīts automātiski.

Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija.
Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Ja pārbaude netiks veikta, piekļuve kontam var tikt ierobežota.

Paldies par sadarbību.",phishing
Tikšanās laika maiņa,"Sveiki, visiem!

Šonedēļ esam sagatavojuši vairākus jaunumus. Paldies par jūsu laiku un atsaucību. Dokumenti būs pieejami arī klātienes tikšanās laikā.

Paldies par sadarbību!
Uzņēmuma komanda.",normal
Atgādinājums par tikšanos,"Sveiki, Jāni!

Darba grafiks nākamajai nedēļai ir sagatavots. Mēs nosūtīsim papildu informāciju pēc tikšanās. Informācija par jaunumiem ir pieejama mūsu mājaslapā. Tikšanās laiks ir saskaņots ar visiem dalībniekiem. Nākamajā mēnesī tiks veiktas nelielas izmaiņas darba kārtībā.

Paldies par sadarbību!
Uzņēmuma komanda.",normal
Jūsu konts ir ierobežots,"Labdien!

Svarīga informācija par jūsu kontu.

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude. Šis ir automātiski nosūtīts paziņojums.

Lai izvairītos no piekļuves ierobežošanas, apstipriniet konta datus.
Apstiprināšanas process ir pieejams konta pārbaudes sadaļā.

Pretējā gadījumā dažas konta funkcijas var kļūt nepieejamas.

Ar cieņu,
Drošības nodaļa.",phishing
Neparasta aktivitāte kontā,"Svarīgs paziņojums!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Jūsu profils pašlaik gaida papildu pārbaudi.

Lūdzu, pabeidziet drošības pārbaudi. Apstiprināšanas process ir pieejams konta pārbaudes sadaļā.

Pretējā gadījumā dažas konta funkcijas var kļūt nepieejamas.

Ar cieņu,
Drošības nodaļa.",phishing
Drošības sistēmas brīdinājums,"Sveiki!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Drošības sistēma ir pamanījusi aizdomīgu darbību.

Lūdzu, apstipriniet savu konta informāciju. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
NEKAVĒJOTIES RĪKOJIETIES,"Šī ir pēdējā iespēja apstiprināt jūsu kontu. Rīkojieties nekavējoties.

Lai turpinātu, izmantojiet norādīto saiti:
https://payment-verification.example

Lūdzu, rīkojieties pēc iespējas ātrāk.",phishing
Informācija klientiem,"Sveiki!

Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību. Sanāksmes laikā pārrunāsim aktuālos jautājumus. Informācija par darba grafiku ir pievienota šim ziņojumam. Informācija par jaunumiem ir pieejama mūsu mājaslapā. Pasākuma sākums paredzēts plkst. 10.00.

Ar cieņu,
Klientu apkalpošanas nodaļa.",normal
Piegādes datums,"Labdien, kolēģi!

Informācija tiks papildināta, ja būs nepieciešamas izmaiņas. Atgādinām, ka pasākums notiks piektdien. Vēlamies informēt, ka mūsu tikšanās notiks nākamajā nedēļā. Darba grafiks nākamajai nedēļai ir sagatavots. Mēs priecāsimies saņemt jūsu komentārus. Jūsu rezervācija ir veiksmīgi apstiprināta. Aptauja aizņems tikai dažas minūtes.

Veiksmīgu dienu!
Mūsu komanda.",normal
Rēķins par pakalpojumu,"Labdien!

Mēs novērtējam jūsu atsauksmes un ieteikumus. Informācija tiks papildināta, ja būs nepieciešamas izmaiņas. Lūdzu, dodiet mums ziņu, ja nepieciešams mainīt tikšanās laiku. Lūdzu, saglabājiet šo ziņojumu turpmākai atsaucei. Nodarbība notiks ierastajā laikā. Lūdzu, iepazīstieties ar pievienotajiem dokumentiem.

Ar cieņu,
Projektu komanda.",normal
Darījuma pārbaude,"Labdien!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Kontam ir nepieciešama papildu drošības pārbaude.

Lūdzu, veiciet nepieciešamo pārbaudi pēc iespējas ātrāk. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Pretējā gadījumā var tikt piemēroti papildu drošības ierobežojumi.

Ar cieņu,
Atbalsta komanda.",phishing
Neapstiprināta darbība,"Labdien!

Svarīga informācija par jūsu kontu.

Mūsu sistēma ir konstatējusi neparastu aktivitāti jūsu kontā. Papildu informācija par pārbaudi ir pieejama konta sadaļā.

Lai izvairītos no piekļuves ierobežošanas, apstipriniet konta datus.
Lai apstiprinātu informāciju, atveriet pārbaudes sadaļu.

Lūdzu, neatlieciet šo pārbaudi.

Paldies par sapratni.",phishing
Pateicība par sadarbību,"Labdien, Anna!

Lūdzu, informējiet mūs, ja nevarēsiet piedalīties. Lūdzu, iepazīstieties ar pievienotajiem dokumentiem. Vēlamies informēt, ka mūsu tikšanās notiks nākamajā nedēļā. Paldies par jūsu laiku un atsaucību. Dokumenti būs pieejami arī klātienes tikšanās laikā. Mēs vēlamies precizēt dažas detaļas par mūsu sadarbību.

Paldies par sadarbību!
Uzņēmuma komanda.",normal
Informācija klientiem,"Sveiki, visiem!

Informācija par jaunumiem ir pieejama mūsu mājaslapā. Mēs novērtējam jūsu atsauksmes un ieteikumus. Darba grafiks nākamajai nedēļai ir sagatavots. Jūsu pasūtījums ir sagatavots un tiks nosūtīts tuvākajās dienās. Ja nepieciešams, varam vienoties par citu laiku.

Ar cieņu,
Administrācija.",normal
Darba iespēja Telegram,"Informācija par piedāvājumu pieejama WhatsApp. Noklikšķiniet uz saites un sazinieties ar konsultantu.

Lai turpinātu, izmantojiet norādīto saiti:
https://t.me/fast_work",phishing
Svarīgs klienta paziņojums,"Cienījamais lietotāj!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Drošības sistēma ir pamanījusi aizdomīgu darbību.

Veiciet norādīto pārbaudi, lai atjaunotu pilnu piekļuvi. Lai atjaunotu piekļuvi, turpiniet ar konta pārbaudi.

Pretējā gadījumā var tikt piemēroti papildu drošības ierobežojumi.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Piegādes informācija,"Labdien, cienījamie klienti!

Papildu informāciju varat saņemt, sazinoties ar mums. Pasākuma sākums paredzēts plkst. 10.00. Mēs novērtējam jūsu atsauksmes un ieteikumus.

Lai jauka diena!
Mūsu komanda.",normal
